STN,LON(east),LAT(north),ALT(m),NAME
215,4.437,52.141,-1.1,Voorschoten
235,4.781,52.928,1.2,De Kooy
240,4.79,52.318,-3.3,Schiphol
249,4.979,52.644,-2.4,Berkhout
251,5.346,53.392,0.7,Hoorn Terschelling
260,5.18,52.1,1.9,De Bilt
267,5.384,52.898,-1.3,Stavoren
269,5.52,52.458,-3.7,Lelystad
270,5.752,53.224,1.2,Leeuwarden
273,5.888,52.703,-3.3,Marknesse
275,5.873,52.056,48.2,Deelen
277,6.2,53.413,2.9,Lauwersoog
278,6.259,52.435,3.6,Heino
279,6.574,52.75,15.8,Hoogeveen
280,6.585,53.125,5.2,Eelde
283,6.657,52.069,29.1,Hupsel
286,7.15,53.196,-0.2,Nieuw Beerta
290,6.891,52.274,34.8,Twenthe
310,3.596,51.442,8,Vlissingen
319,3.861,51.226,1.7,Westdorpe
323,3.884,51.527,1.4,Wilhelminadorp
330,4.122,51.992,11.9,Hoek van Holland
340,4.342,51.449,19.2,Woensdrecht
344,4.447,51.962,-4.3,Rotterdam
348,4.926,51.97,-0.7,Cabauw Mast
350,4.936,51.566,14.9,Gilze-Rijen
356,5.146,51.859,0.7,Herwijnen
370,5.377,51.451,22.6,Eindhoven
375,5.707,51.659,22,Volkel
377,5.763,51.198,30,Ell
380,5.762,50.906,114.3,Maastricht
392,6.056189,51.486836,21.88,Horst
