# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# STN,YYYYMMDD,   TX,   RH
  260,20230102,  128,   38
  260,20230103,   91,   13
  260,20230104,  128,  125
  260,20230105,  120,    8
  260,20230106,  117,   17
  260,20230107,  117,   40
  260,20230108,  101,    4
  260,20230109,   88,   36
  260,20230110,  104,   65
  260,20230111,  116,   61
  260,20230112,  114,  400
  260,20230113,   98,   39
  260,20230114,  115,  155
  260,20230115,   78,   20
  260,20230116,   54,  110
  260,20230117,   48,   11
  260,20230118,   51,   49
  260,20230119,   62,   64
  260,20230120,   15,   80
  260,20230121,    1,    0
  260,20230122,   15,    0
  260,20230123,   41,   -1
  260,20230124,   31,    0
  260,20230125,    3,   -1
  260,20230126,   81,    5
  260,20230127,   54,    0
  260,20230128,   62,    0
  260,20230129,   66,   -1
  260,20230130,   86,   23
  260,20230131,   97,   -1
  260,20230201,   90,   10
  260,20230202,   94,   28
  260,20230203,  107,    1
  260,20230204,   99,    1
  260,20230205,   83,   11
  260,20230206,   86,    0
  260,20230207,   59,    0
  260,20230208,   67,    0
  260,20230209,   53,    0
  260,20230210,   80,   -1
  260,20230211,  104,    0
  260,20230212,   84,    0
  260,20230213,  115,    0
  260,20230214,  122,    0
  260,20230215,  112,    0
  260,20230216,  110,   24
  260,20230217,  119,    1
  260,20230218,  123,   49
  260,20230219,  100,   15
  260,20230220,   92,    0
  260,20230221,   88,   -1
  260,20230222,   95,    8
  260,20230223,   92,   11
  260,20230224,   82,   28
  260,20230225,   72,   24
  260,20230226,   65,   -1
  260,20230227,   73,    0
  260,20230228,   68,    1
  260,20230301,   78,    0
  260,20230302,   89,    0
  260,20230303,   79,    0
  260,20230304,   78,    3
  260,20230305,   64,    3
  260,20230306,   68,   31
  260,20230307,   51,   59
  260,20230308,   30,   22
  260,20230309,   25,  114
  260,20230310,   26,  144
