Datum;Uur;Aantal_check_ins
1-1-2023;0;1.7
1-1-2023;1;6
1-1-2023;2;6.5
1-1-2023;3;6.2
1-1-2023;4;6
1-1-2023;5;6.4
1-1-2023;6;6.3
1-1-2023;7;12.8
1-1-2023;8;16.5
1-1-2023;9;27.1
1-1-2023;10;35.9
1-1-2023;11;51.3
1-1-2023;12;71.7
1-1-2023;13;89.2
1-1-2023;14;100.7
1-1-2023;15;101.4
1-1-2023;16;94.4
1-1-2023;17;82.8
1-1-2023;18;68.8
1-1-2023;19;61.4
1-1-2023;20;54.2
1-1-2023;21;42.8
1-1-2023;22;32.3
1-1-2023;23;21.3
2-1-2023;0;7.6
2-1-2023;1;0.9
2-1-2023;2;0.3
2-1-2023;3;0.5
2-1-2023;4;1.5
2-1-2023;5;13.3
2-1-2023;6;58.2
2-1-2023;7;119.2
2-1-2023;8;131.7
2-1-2023;9;88.4
2-1-2023;10;89.1
2-1-2023;11;108.1
2-1-2023;12;129
2-1-2023;13;143.4
2-1-2023;14;152.5
2-1-2023;15;166.7
2-1-2023;16;198.4
2-1-2023;17;220.7
2-1-2023;18;138.1
2-1-2023;19;90.9
2-1-2023;20;74.6
2-1-2023;21;59.2
2-1-2023;22;48.4
2-1-2023;23;33.7
3-1-2023;0;11.8
3-1-2023;1;1.1
3-1-2023;2;0.4
3-1-2023;3;0.4
3-1-2023;4;1.4
3-1-2023;5;14.3
3-1-2023;6;68.5
3-1-2023;7;152.8
3-1-2023;8;179.7
3-1-2023;9;125
3-1-2023;10;116
3-1-2023;11;130.7
3-1-2023;12;148.2
3-1-2023;13;158.4
3-1-2023;14;169.4
3-1-2023;15;191.2
3-1-2023;16;235.9
3-1-2023;17;272.9
3-1-2023;18;162.5
3-1-2023;19;95.7
3-1-2023;20;74.5
3-1-2023;21;63.8
3-1-2023;22;53.4
3-1-2023;23;37.9
4-1-2023;0;13.5
4-1-2023;1;1.1
4-1-2023;2;0.5
4-1-2023;3;0.5
4-1-2023;4;1.6
4-1-2023;5;13.9
4-1-2023;6;65
4-1-2023;7;140.4
4-1-2023;8;171.4
4-1-2023;9;128.9
4-1-2023;10;114
4-1-2023;11;130.5
4-1-2023;12;148.5
4-1-2023;13;156.6
4-1-2023;14;167.7
4-1-2023;15;188.5
4-1-2023;16;228.5
4-1-2023;17;261.1
4-1-2023;18;166.9
4-1-2023;19;99.7
4-1-2023;20;78.9
4-1-2023;21;69.4
4-1-2023;22;58.9
4-1-2023;23;40.9
5-1-2023;0;13.8
5-1-2023;1;1.3
5-1-2023;2;0.5
5-1-2023;3;0.6
5-1-2023;4;1.6
5-1-2023;5;14.3
5-1-2023;6;68.4
5-1-2023;7;154
5-1-2023;8;184.8
5-1-2023;9;130.7
5-1-2023;10;121.6
5-1-2023;11;137.2
5-1-2023;12;155.2
5-1-2023;13;165.4
5-1-2023;14;176.6
5-1-2023;15;202
5-1-2023;16;251.7
5-1-2023;17;284.7
5-1-2023;18;182.9
5-1-2023;19;110.9
5-1-2023;20;87.6
5-1-2023;21;79.4
5-1-2023;22;67.6
5-1-2023;23;50.5
6-1-2023;0;18.1
6-1-2023;1;1.6
6-1-2023;2;0.7
6-1-2023;3;1
6-1-2023;4;2.2
6-1-2023;5;13.7
6-1-2023;6;55.2
6-1-2023;7;112.7
6-1-2023;8;138.7
6-1-2023;9;114.4
6-1-2023;10;116
6-1-2023;11;138.4
6-1-2023;12;161.2
6-1-2023;13;172.1
6-1-2023;14;183.8
6-1-2023;15;202.4
6-1-2023;16;226.7
6-1-2023;17;240.9
6-1-2023;18;182
6-1-2023;19;124.7
6-1-2023;20;97
6-1-2023;21;83.3
6-1-2023;22;81.8
6-1-2023;23;72
7-1-2023;0;34.1
7-1-2023;1;6.4
7-1-2023;2;2.4
7-1-2023;3;2.1
7-1-2023;4;2.5
7-1-2023;5;4.5
7-1-2023;6;12.8
7-1-2023;7;28.3
7-1-2023;8;50.8
7-1-2023;9;76.2
7-1-2023;10;95.9
7-1-2023;11;120.6
7-1-2023;12;141
7-1-2023;13;160.6
7-1-2023;14;163.4
7-1-2023;15;167.8
7-1-2023;16;170.4
7-1-2023;17;158.2
7-1-2023;18;124.9
7-1-2023;19;98.3
7-1-2023;20;81.5
7-1-2023;21;70.7
7-1-2023;22;71.4
7-1-2023;23;67
8-1-2023;0;32.9
8-1-2023;1;6.8
8-1-2023;2;3
8-1-2023;3;2.5
8-1-2023;4;2.6
8-1-2023;5;3.8
8-1-2023;6;4.6
8-1-2023;7;13.5
8-1-2023;8;27.6
8-1-2023;9;49.1
8-1-2023;10;68.1
8-1-2023;11;90.8
8-1-2023;12;109.1
8-1-2023;13;123.1
8-1-2023;14;126.8
8-1-2023;15;129.4
8-1-2023;16;128.7
8-1-2023;17;122.4
8-1-2023;18;99.3
8-1-2023;19;83.3
8-1-2023;20;71.7
8-1-2023;21;57.6
8-1-2023;22;43.2
8-1-2023;23;26.7
9-1-2023;0;8.1
9-1-2023;1;0.8
9-1-2023;2;0.2
9-1-2023;3;0.4
9-1-2023;4;1.5
9-1-2023;5;17
9-1-2023;6;99.3
9-1-2023;7;305.2
9-1-2023;8;383.7
9-1-2023;9;237.4
9-1-2023;10;179.8
9-1-2023;11;172.2
9-1-2023;12;207.8
9-1-2023;13;206
9-1-2023;14;246.5
9-1-2023;15;300.8
9-1-2023;16;345.6
9-1-2023;17;361.8
9-1-2023;18;190.8
9-1-2023;19;96.1
9-1-2023;20;70
9-1-2023;21;59.6
9-1-2023;22;48.5
9-1-2023;23;29.9
10-1-2023;0;9
10-1-2023;1;0.9
10-1-2023;2;0.3
10-1-2023;3;0.4
10-1-2023;4;1.4
10-1-2023;5;17.1
10-1-2023;6;107.2
10-1-2023;7;369.3
10-1-2023;8;442.9
10-1-2023;9;241.3
10-1-2023;10;180.2
10-1-2023;11;177.5
10-1-2023;12;225.4
10-1-2023;13;228.2
10-1-2023;14;276.1
10-1-2023;15;330.9
10-1-2023;16;368.3
10-1-2023;17;389.6
10-1-2023;18;213.7
10-1-2023;19;107.2
10-1-2023;20;76.7
10-1-2023;21;67.7
10-1-2023;22;58.2
10-1-2023;23;35.3
11-1-2023;0;10.8
11-1-2023;1;0.9
11-1-2023;2;0.3
11-1-2023;3;0.5
11-1-2023;4;1.4
11-1-2023;5;16.2
11-1-2023;6;93.1
11-1-2023;7;321.1
11-1-2023;8;390.5
11-1-2023;9;226.2
11-1-2023;10;177.9
11-1-2023;11;183.9
11-1-2023;12;235.5
11-1-2023;13;228.8
11-1-2023;14;261.9
11-1-2023;15;308.5
11-1-2023;16;339.7
11-1-2023;17;342.1
11-1-2023;18;196
11-1-2023;19;108.4
11-1-2023;20;80.1
11-1-2023;21;71.6
11-1-2023;22;61.9
11-1-2023;23;39.5
12-1-2023;0;12.3
12-1-2023;1;0.9
12-1-2023;2;0.4
12-1-2023;3;0.5
12-1-2023;4;1.6
12-1-2023;5;16.7
12-1-2023;6;105.5
12-1-2023;7;369
12-1-2023;8;465.1
12-1-2023;9;259.5
12-1-2023;10;188.4
12-1-2023;11;182.8
12-1-2023;12;229.6
12-1-2023;13;235.1
12-1-2023;14;285.3
12-1-2023;15;341.7
12-1-2023;16;379.3
12-1-2023;17;388.9
12-1-2023;18;231.5
12-1-2023;19;127.6
12-1-2023;20;94
12-1-2023;21;87.1
12-1-2023;22;77.3
12-1-2023;23;55.8
13-1-2023;0;18.1
13-1-2023;1;1.8
13-1-2023;2;0.7
13-1-2023;3;0.9
13-1-2023;4;2
13-1-2023;5;15.1
13-1-2023;6;77.5
13-1-2023;7;273.4
13-1-2023;8;350.7
13-1-2023;9;216
13-1-2023;10;176.5
13-1-2023;11;183.4
13-1-2023;12;234
13-1-2023;13;240.9
13-1-2023;14;279.8
13-1-2023;15;318.3
13-1-2023;16;314.1
13-1-2023;17;303.4
13-1-2023;18;215.5
13-1-2023;19;136.4
13-1-2023;20;102.2
13-1-2023;21;89.4
13-1-2023;22;87.3
13-1-2023;23;79.3
14-1-2023;0;40.5
14-1-2023;1;8.1
14-1-2023;2;3.1
14-1-2023;3;2.7
14-1-2023;4;2.6
14-1-2023;5;4.5
14-1-2023;6;13.5
14-1-2023;7;31
14-1-2023;8;58.8
14-1-2023;9;85.4
14-1-2023;10;100.1
14-1-2023;11;123.8
14-1-2023;12;145.4
14-1-2023;13;159.6
14-1-2023;14;161.6
14-1-2023;15;162.5
14-1-2023;16;168.5
14-1-2023;17;164.9
14-1-2023;18;132.5
14-1-2023;19;111
14-1-2023;20;87.7
14-1-2023;21;73.4
14-1-2023;22;78.2
14-1-2023;23;91
15-1-2023;0;43.7
15-1-2023;1;8.9
15-1-2023;2;3.6
15-1-2023;3;2.8
15-1-2023;4;3.3
15-1-2023;5;4
15-1-2023;6;4.8
15-1-2023;7;13.3
15-1-2023;8;27.8
15-1-2023;9;50.3
15-1-2023;10;70.9
15-1-2023;11;94.7
15-1-2023;12;117.3
15-1-2023;13;131.9
15-1-2023;14;137.2
15-1-2023;15;135.4
15-1-2023;16;129.3
15-1-2023;17;122.5
15-1-2023;18;103.6
15-1-2023;19;86.3
15-1-2023;20;74.4
15-1-2023;21;60.6
15-1-2023;22;46.7
15-1-2023;23;29.3
16-1-2023;0;8.6
16-1-2023;1;0.7
16-1-2023;2;0.3
16-1-2023;3;0.4
16-1-2023;4;1.5
16-1-2023;5;17.4
16-1-2023;6;103.7
16-1-2023;7;354.3
16-1-2023;8;445.3
16-1-2023;9;250.9
16-1-2023;10;190.3
16-1-2023;11;184.6
16-1-2023;12;225.1
16-1-2023;13;220.9
16-1-2023;14;264.7
16-1-2023;15;328
16-1-2023;16;368.1
16-1-2023;17;381.5
16-1-2023;18;208.4
16-1-2023;19;105.2
16-1-2023;20;74.8
16-1-2023;21;65.8
16-1-2023;22;56.7
16-1-2023;23;33.8
17-1-2023;0;9.9
17-1-2023;1;0.8
17-1-2023;2;0.3
17-1-2023;3;0.4
17-1-2023;4;1.4
17-1-2023;5;17.5
17-1-2023;6;107.9
17-1-2023;7;363.5
17-1-2023;8;444.4
17-1-2023;9;247.4
17-1-2023;10;188.4
17-1-2023;11;186.3
17-1-2023;12;232.6
17-1-2023;13;233.2
17-1-2023;14;272.8
17-1-2023;15;321.4
17-1-2023;16;363.8
17-1-2023;17;396.9
17-1-2023;18;222.3
17-1-2023;19;114.2
17-1-2023;20;83.1
17-1-2023;21;73.7
17-1-2023;22;62.4
17-1-2023;23;35.8
18-1-2023;0;10.6
18-1-2023;1;0.9
18-1-2023;2;0.3
18-1-2023;3;0.5
18-1-2023;4;1.6
18-1-2023;5;16.6
18-1-2023;6;93.8
18-1-2023;7;315.6
18-1-2023;8;393.2
18-1-2023;9;230.1
18-1-2023;10;184.5
18-1-2023;11;190.1
18-1-2023;12;240.1
18-1-2023;13;233.9
18-1-2023;14;261.1
18-1-2023;15;305
18-1-2023;16;343
18-1-2023;17;340.9
18-1-2023;18;200.5
18-1-2023;19;111.6
18-1-2023;20;83.2
18-1-2023;21;77.8
18-1-2023;22;68.7
18-1-2023;23;40.6
19-1-2023;0;14.1
19-1-2023;1;1
19-1-2023;2;0.4
19-1-2023;3;0.6
19-1-2023;4;1.6
19-1-2023;5;14.4
19-1-2023;6;76.5
19-1-2023;7;252.7
19-1-2023;8;332.2
19-1-2023;9;186.8
19-1-2023;10;142.6
19-1-2023;11;143.4
19-1-2023;12;174.1
19-1-2023;13;176.9
19-1-2023;14;202.5
19-1-2023;15;239.9
19-1-2023;16;276.3
19-1-2023;17;310
19-1-2023;18;197.4
19-1-2023;19;111.7
19-1-2023;20;82
19-1-2023;21;75.8
19-1-2023;22;66.9
19-1-2023;23;46.3
20-1-2023;0;15.1
20-1-2023;1;1.4
20-1-2023;2;0.8
20-1-2023;3;0.9
20-1-2023;4;1.9
20-1-2023;5;12.8
20-1-2023;6;59.9
20-1-2023;7;190.4
20-1-2023;8;260.5
20-1-2023;9;166.5
20-1-2023;10;138.1
20-1-2023;11;146.5
20-1-2023;12;180.3
20-1-2023;13;185.6
20-1-2023;14;209.6
20-1-2023;15;236
20-1-2023;16;244.6
20-1-2023;17;250.4
20-1-2023;18;185.2
20-1-2023;19;118.3
20-1-2023;20;88.8
20-1-2023;21;78.9
20-1-2023;22;78.8
20-1-2023;23;71.8
21-1-2023;0;35.7
21-1-2023;1;7.2
21-1-2023;2;2.5
21-1-2023;3;2.3
21-1-2023;4;2.7
21-1-2023;5;4.9
21-1-2023;6;14.3
21-1-2023;7;32.3
21-1-2023;8;61.9
21-1-2023;9;91.4
21-1-2023;10;112
21-1-2023;11;140.1
21-1-2023;12;165.8
21-1-2023;13;182.6
21-1-2023;14;184.7
21-1-2023;15;184.5
21-1-2023;16;186.6
21-1-2023;17;181.4
21-1-2023;18;146.7
21-1-2023;19;112.8
21-1-2023;20;90.9
21-1-2023;21;79.7
21-1-2023;22;84.3
21-1-2023;23;80.1
22-1-2023;0;40.8
22-1-2023;1;8.2
22-1-2023;2;3.4
22-1-2023;3;2.9
22-1-2023;4;3.2
22-1-2023;5;4.2
22-1-2023;6;5
22-1-2023;7;13.6
22-1-2023;8;28.9
22-1-2023;9;52.6
22-1-2023;10;73.7
22-1-2023;11;100.4
22-1-2023;12;122.3
22-1-2023;13;138.5
22-1-2023;14;132.2
22-1-2023;15;126.4
22-1-2023;16;131.8
22-1-2023;17;131.3
22-1-2023;18;107.6
22-1-2023;19;90.6
22-1-2023;20;76.3
22-1-2023;21;61.9
22-1-2023;22;49.6
22-1-2023;23;30.1
23-1-2023;0;9
23-1-2023;1;0.6
23-1-2023;2;0.3
23-1-2023;3;0.4
23-1-2023;4;1.5
23-1-2023;5;17.6
23-1-2023;6;99.8
23-1-2023;7;320.1
23-1-2023;8;388
23-1-2023;9;220.2
23-1-2023;10;176.7
23-1-2023;11;183.3
23-1-2023;12;219.3
23-1-2023;13;215.9
23-1-2023;14;253.4
23-1-2023;15;302.1
23-1-2023;16;338.9
23-1-2023;17;347.2
23-1-2023;18;192.9
23-1-2023;19;101.3
23-1-2023;20;74.4
23-1-2023;21;64.9
23-1-2023;22;54.4
23-1-2023;23;32.4
24-1-2023;0;9.8
24-1-2023;1;0.8
24-1-2023;2;0.3
24-1-2023;3;0.4
24-1-2023;4;1.4
24-1-2023;5;17.6
24-1-2023;6;106.3
24-1-2023;7;345
24-1-2023;8;422.5
24-1-2023;9;239
24-1-2023;10;185.4
24-1-2023;11;187.5
24-1-2023;12;227.9
24-1-2023;13;228.4
24-1-2023;14;265.6
24-1-2023;15;305.3
24-1-2023;16;348.3
24-1-2023;17;377.7
24-1-2023;18;214.1
24-1-2023;19;110.8
24-1-2023;20;82.4
24-1-2023;21;73.7
24-1-2023;22;61.6
24-1-2023;23;36.8
25-1-2023;0;11.1
25-1-2023;1;0.9
25-1-2023;2;0.4
25-1-2023;3;0.4
25-1-2023;4;1.5
25-1-2023;5;16.5
25-1-2023;6;93.1
25-1-2023;7;300.2
25-1-2023;8;370.8
25-1-2023;9;222.4
25-1-2023;10;180.9
25-1-2023;11;190.8
25-1-2023;12;237.2
25-1-2023;13;232.3
25-1-2023;14;259.3
25-1-2023;15;294.2
25-1-2023;16;330.1
25-1-2023;17;341.6
25-1-2023;18;206.8
25-1-2023;19;115.6
25-1-2023;20;86.2
25-1-2023;21;78.4
25-1-2023;22;69.6
25-1-2023;23;49.4
26-1-2023;0;14.3
26-1-2023;1;1
26-1-2023;2;0.4
26-1-2023;3;0.6
26-1-2023;4;1.6
26-1-2023;5;17.4
26-1-2023;6;101
26-1-2023;7;334.2
26-1-2023;8;422.5
26-1-2023;9;246.5
26-1-2023;10;191.3
26-1-2023;11;193.3
26-1-2023;12;234.6
26-1-2023;13;237.6
26-1-2023;14;273.7
26-1-2023;15;317
26-1-2023;16;355.6
26-1-2023;17;375.4
26-1-2023;18;235.6
26-1-2023;19;142.2
26-1-2023;20;103.9
26-1-2023;21;95.7
26-1-2023;22;84.3
26-1-2023;23;69.2
27-1-2023;0;21.5
27-1-2023;1;2.1
27-1-2023;2;0.8
27-1-2023;3;1.1
27-1-2023;4;2.2
27-1-2023;5;16.1
27-1-2023;6;76.6
27-1-2023;7;245.9
27-1-2023;8;318
27-1-2023;9;203.3
27-1-2023;10;178
27-1-2023;11;192.1
27-1-2023;12;241.1
27-1-2023;13;246.3
27-1-2023;14;278.7
27-1-2023;15;300.7
27-1-2023;16;304
27-1-2023;17;300.4
27-1-2023;18;223
27-1-2023;19;146.8
27-1-2023;20;113
27-1-2023;21;99.8
27-1-2023;22;94.4
27-1-2023;23;87.3
28-1-2023;0;43.2
28-1-2023;1;8.2
28-1-2023;2;3.3
28-1-2023;3;2.6
28-1-2023;4;3
28-1-2023;5;4.9
28-1-2023;6;14.2
28-1-2023;7;32.5
28-1-2023;8;64
28-1-2023;9;94.5
28-1-2023;10;115.9
28-1-2023;11;143.1
28-1-2023;12;167.2
28-1-2023;13;185.5
28-1-2023;14;190.8
28-1-2023;15;189
28-1-2023;16;189.9
